CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,SEASON
201599,DeAndre Jordan,1610612746,LAC,C,25.0,82,82,1.0,626,1375,0.455,0.479,-0.024,2013-14
201577,Robin Lopez,1610612757,POR,C,26.0,82,82,1.0,571,1315,0.434,0.478,-0.044,2013-14
201150,Spencer Hawes,1610612739,CLE,C,26.0,80,80,1.0,587,1285,0.457,0.473,-0.016,2013-14
201586,Serge Ibaka,1610612760,OKC,F-C,24.0,81,81,1.0,564,1270,0.444,0.471,-0.027,2013-14
201149,Joakim Noah,1610612741,CHI,C,29.0,80,80,1.0,529,1246,0.425,0.47,-0.046,2013-14
101162,Marcin Gortat,1610612764,WAS,C,30.0,80,80,1.0,575,1223,0.47,0.473,-0.003,2013-14
201567,Kevin Love,1610612750,MIN,F-C,25.0,77,77,1.0,586,1169,0.501,0.473,0.028,2013-14
201579,Roy Hibbert,1610612754,IND,C,27.0,81,81,1.0,474,1134,0.418,0.477,-0.059,2013-14
200794,Paul Millsap,1610612737,ATL,F,29.0,73,73,1.0,513,1094,0.469,0.463,0.006,2013-14
203083,Andre Drummond,1610612765,DET,C,20.0,81,81,1.0,520,1066,0.488,0.472,0.016,2013-14
2746,Josh Smith,1610612765,DET,F,28.0,77,77,1.0,476,1059,0.449,0.46,-0.011,2013-14
2547,Chris Bosh,1610612748,MIA,C-F,30.0,79,79,1.0,486,1052,0.462,0.469,-0.007,2013-14
201152,Thaddeus Young,1610612755,PHI,F,26.0,79,79,1.0,522,1044,0.5,0.457,0.043,2013-14
101112,Channing Frye,1610612756,PHX,F-C,31.0,82,82,1.0,503,1038,0.485,0.468,0.016,2013-14
200746,LaMarcus Aldridge,1610612757,POR,F,28.0,69,69,1.0,491,1038,0.473,0.471,0.002,2013-14
202328,Greg Monroe,1610612765,DET,F-C,24.0,82,82,1.0,504,1036,0.486,0.464,0.023,2013-14
1717,Dirk Nowitzki,1610612742,DAL,F,36.0,80,80,1.0,474,1011,0.469,0.468,0.0,2013-14
201933,Blake Griffin,1610612746,LAC,F,25.0,80,80,1.0,460,1007,0.457,0.469,-0.012,2013-14
2216,Zach Randolph,1610612763,MEM,F,32.0,78,78,1.0,494,998,0.495,0.477,0.018,2013-14
2744,Al Jefferson,1610612766,CHA,C,29.0,72,72,1.0,462,997,0.463,0.479,-0.015,2013-14
202689,Kemba Walker,1610612766,CHA,G,24.0,72,72,1.0,408,979,0.417,0.434,-0.017,2013-14
202331,Paul George,1610612754,IND,F-G,24.0,80,80,1.0,397,979,0.406,0.45,-0.044,2013-14
203093,Terrence Jones,1610612745,HOU,F,22.0,75,75,1.0,459,979,0.469,0.463,0.006,2013-14
201959,Taj Gibson,1610612741,CHI,F-C,29.0,82,82,1.0,405,972,0.417,0.459,-0.043,2013-14
202685,Jonas Valančiūnas,1610612761,TOR,C,22.0,80,80,1.0,453,970,0.467,0.476,-0.009,2013-14
1495,Tim Duncan,1610612759,SAS,F,38.0,74,74,1.0,435,969,0.449,0.48,-0.031,2013-14
202324,Derrick Favors,1610612762,UTA,C-F,22.0,73,73,1.0,455,964,0.472,0.479,-0.007,2013-14
