TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,SEASON,MEASURE_TYPE
1610612737,ATL,Atlanta Hawks,81,38,43,18426.0,705,398,296,0.565,2192,0.322,73,0.333,8.0,2540,730,1792,0.287,4619,0.55,421,0.605,6.4,3245,1128,2088,0.348,6811,0.476,494,0.514,6.7,2013-14,Rebounding
1610612738,BOS,Boston Celtics,82,25,57,18846.0,980,582,371,0.594,2668,0.367,86,0.38,7.5,2505,677,1822,0.27,4573,0.548,386,0.598,6.2,3485,1259,2193,0.361,7241,0.481,472,0.515,6.5,2013-14,Rebounding
1610612751,BKN,Brooklyn Nets,81,43,38,18374.0,709,391,301,0.551,1981,0.358,70,0.371,8.2,2378,675,1689,0.284,4318,0.551,354,0.6,6.6,3087,1066,1990,0.345,6299,0.49,424,0.525,7.0,2013-14,Rebounding
1610612766,CHA,Charlotte Bobcats,81,42,39,18727.0,766,416,340,0.543,2240,0.342,52,0.35,8.3,2689,748,1933,0.278,4912,0.547,442,0.602,6.3,3455,1164,2273,0.337,7152,0.483,494,0.519,6.7,2013-14,Rebounding
1610612741,CHI,Chicago Bulls,82,48,34,19159.0,937,533,384,0.569,2690,0.348,94,0.361,7.9,2680,788,1882,0.294,4935,0.543,425,0.594,6.3,3617,1321,2266,0.365,7625,0.474,519,0.509,6.7,2013-14,Rebounding
1610612739,CLE,Cleveland Cavaliers,82,33,49,18810.0,987,547,427,0.554,2912,0.339,74,0.348,8.0,2629,734,1883,0.279,4826,0.545,398,0.594,6.6,3616,1281,2310,0.354,7738,0.467,472,0.498,6.9,2013-14,Rebounding
1610612742,DAL,Dallas Mavericks,82,49,33,18896.0,839,488,346,0.582,2217,0.378,75,0.392,8.0,2513,739,1761,0.294,4515,0.557,407,0.612,6.4,3352,1227,2107,0.366,6732,0.498,482,0.536,6.8,2013-14,Rebounding
1610612743,DEN,Denver Nuggets,82,36,46,18945.0,1007,574,397,0.57,2932,0.343,99,0.355,7.8,2717,747,1974,0.275,4968,0.547,462,0.603,6.4,3724,1321,2371,0.355,7900,0.471,561,0.507,6.8,2013-14,Rebounding
1610612765,DET,Detroit Pistons,82,29,53,18453.0,1195,738,420,0.618,2979,0.401,105,0.416,7.0,2524,772,1750,0.306,4431,0.57,388,0.624,6.1,3719,1510,2170,0.406,7410,0.502,493,0.538,6.4,2013-14,Rebounding
1610612744,GSW,Golden State Warriors,81,50,31,18890.0,885,499,367,0.564,2360,0.375,85,0.389,7.8,2796,794,1980,0.284,5011,0.558,456,0.614,6.2,3681,1293,2347,0.351,7371,0.499,541,0.539,6.6,2013-14,Rebounding
1610612745,HOU,Houston Rockets,82,54,28,19094.0,919,498,393,0.542,2606,0.353,83,0.364,7.8,2796,818,1967,0.293,5033,0.556,446,0.61,6.5,3715,1316,2360,0.354,7639,0.486,529,0.523,6.8,2013-14,Rebounding
1610612754,IND,Indiana Pacers,82,56,26,18980.0,833,492,326,0.591,2548,0.327,74,0.337,7.8,2829,720,2091,0.255,5139,0.55,437,0.602,6.1,3662,1212,2417,0.331,7687,0.476,511,0.51,6.5,2013-14,Rebounding
1610612746,LAC,Los Angeles Clippers,82,57,25,18494.0,856,465,368,0.543,2206,0.388,88,0.404,8.4,2666,745,1914,0.279,4775,0.558,350,0.602,6.6,3522,1210,2282,0.344,6981,0.505,438,0.538,7.0,2013-14,Rebounding
1610612747,LAL,Los Angeles Lakers,82,27,55,18638.0,743,406,327,0.546,2188,0.34,69,0.351,8.3,2619,710,1902,0.271,4834,0.542,358,0.585,6.6,3362,1116,2229,0.332,7022,0.479,427,0.51,7.0,2013-14,Rebounding
1610612763,MEM,Memphis Grizzlies,82,50,32,18809.0,950,543,387,0.572,2669,0.356,94,0.369,7.3,2525,756,1759,0.299,4449,0.568,408,0.625,6.1,3475,1299,2146,0.374,7118,0.488,502,0.525,6.4,2013-14,Rebounding
1610612748,MIA,Miami Heat,82,54,28,18638.0,624,345,265,0.553,1766,0.353,46,0.363,8.6,2397,629,1759,0.262,4560,0.526,390,0.575,6.8,3021,974,2024,0.322,6326,0.478,436,0.513,7.1,2013-14,Rebounding
1610612749,MIL,Milwaukee Bucks,81,15,66,18537.0,963,563,386,0.585,2528,0.381,98,0.396,7.5,2365,685,1665,0.29,4415,0.536,341,0.581,6.3,3328,1248,2051,0.375,6943,0.479,439,0.512,6.7,2013-14,Rebounding
1610612750,MIN,Minnesota Timberwolves,82,40,42,18741.0,1023,630,369,0.616,2904,0.352,84,0.363,7.2,2644,811,1816,0.307,4442,0.595,365,0.649,5.9,3667,1441,2185,0.393,7346,0.499,449,0.532,6.3,2013-14,Rebounding
1610612740,NOP,New Orleans Pelicans,82,34,48,18546.0,932,508,402,0.545,2490,0.374,90,0.388,7.8,2486,715,1767,0.288,4382,0.567,379,0.621,6.5,3418,1223,2169,0.358,6872,0.497,469,0.534,6.8,2013-14,Rebounding
1610612752,NYK,New York Knicks,82,37,45,18677.0,867,494,354,0.57,2332,0.372,86,0.386,8.4,2436,659,1772,0.271,4321,0.564,346,0.613,6.4,3303,1153,2126,0.349,6653,0.496,432,0.531,6.9,2013-14,Rebounding
1610612760,OKC,Oklahoma City Thunder,82,59,23,19081.0,886,514,358,0.58,2386,0.371,81,0.384,7.5,2781,777,1990,0.279,4945,0.562,458,0.62,6.3,3667,1291,2348,0.352,7331,0.5,539,0.54,6.6,2013-14,Rebounding
1610612753,ORL,Orlando Magic,82,23,59,18811.0,793,466,309,0.588,2191,0.362,66,0.373,7.7,2653,719,1926,0.271,4803,0.552,427,0.606,6.4,3446,1185,2235,0.344,6994,0.493,493,0.53,6.7,2013-14,Rebounding
1610612755,PHI,Philadelphia 76ers,82,19,63,19093.0,948,523,397,0.552,2890,0.328,105,0.34,7.4,2556,677,1870,0.265,4670,0.547,382,0.596,6.3,3504,1200,2267,0.342,7560,0.463,487,0.495,6.6,2013-14,Rebounding
1610612756,PHX,Phoenix Suns,82,48,34,19039.0,926,518,392,0.559,2462,0.376,109,0.394,8.0,2600,711,1856,0.273,4676,0.556,381,0.605,6.3,3526,1229,2248,0.349,7138,0.494,490,0.53,6.7,2013-14,Rebounding
1610612757,POR,Portland Trail Blazers,82,54,28,18874.0,1020,596,409,0.584,2876,0.355,96,0.367,7.6,2786,768,2009,0.276,5206,0.535,493,0.591,6.1,3806,1364,2418,0.358,8082,0.471,589,0.508,6.5,2013-14,Rebounding
1610612758,SAC,Sacramento Kings,81,28,53,18562.0,978,547,396,0.559,2823,0.346,118,0.362,7.8,2627,653,1951,0.249,4748,0.553,460,0.613,6.5,3605,1200,2347,0.333,7571,0.476,578,0.516,6.8,2013-14,Rebounding
1610612759,SAS,San Antonio Spurs,82,62,20,18721.0,760,437,309,0.575,2152,0.353,64,0.364,7.8,2786,829,1958,0.298,4991,0.558,439,0.612,6.2,3546,1266,2267,0.357,7143,0.496,503,0.534,6.5,2013-14,Rebounding
