TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON,MEASURE_TYPE
1610612737,ATL,Atlanta Hawks,81,38,43,19590.0,7212565,1366.0,728.1,637.9,4.2,4.55,3.85,2013-14,SpeedDistance
1610612738,BOS,Boston Celtics,82,25,57,19730.0,7198429,1363.3,731.1,632.3,4.15,4.41,3.89,2013-14,SpeedDistance
1610612751,BKN,Brooklyn Nets,81,43,38,19640.0,7003202,1326.4,703.8,622.6,4.07,4.29,3.85,2013-14,SpeedDistance
1610612766,CHA,Charlotte Bobcats,81,42,39,19665.0,7355966,1393.2,770.6,622.6,4.26,4.61,3.89,2013-14,SpeedDistance
1610612741,CHI,Chicago Bulls,82,48,34,19930.0,7362304,1394.4,765.1,629.2,4.21,4.47,3.93,2013-14,SpeedDistance
1610612739,CLE,Cleveland Cavaliers,82,33,49,19930.0,7533021,1426.7,761.5,665.2,4.31,4.63,3.98,2013-14,SpeedDistance
1610612742,DAL,Dallas Mavericks,82,49,33,19830.0,7223183,1368.0,732.1,635.9,4.15,4.41,3.89,2013-14,SpeedDistance
1610612743,DEN,Denver Nuggets,82,36,46,19755.0,7377090,1397.2,728.7,668.5,4.25,4.61,3.92,2013-14,SpeedDistance
1610612765,DET,Detroit Pistons,82,29,53,19780.0,7181391,1360.1,712.9,647.2,4.13,4.34,3.93,2013-14,SpeedDistance
1610612744,GSW,Golden State Warriors,81,50,31,19590.0,7200543,1363.7,710.2,653.5,4.2,4.56,3.87,2013-14,SpeedDistance
1610612745,HOU,Houston Rockets,82,54,28,19830.0,7279967,1378.8,722.7,656.1,4.18,4.5,3.88,2013-14,SpeedDistance
1610612754,IND,Indiana Pacers,82,56,26,19780.0,7063951,1337.9,715.9,622.0,4.07,4.25,3.87,2013-14,SpeedDistance
1610612746,LAC,Los Angeles Clippers,82,57,25,19755.0,7235369,1370.3,705.7,664.7,4.17,4.48,3.88,2013-14,SpeedDistance
1610612747,LAL,Los Angeles Lakers,82,27,55,19705.0,7407165,1402.9,730.5,672.4,4.28,4.61,3.97,2013-14,SpeedDistance
1610612763,MEM,Memphis Grizzlies,82,50,32,19805.0,7236279,1370.5,745.2,625.3,4.16,4.36,3.95,2013-14,SpeedDistance
